gene,Control,IFNγ,Co-culture
A2M,3,3,3
ACSL3,3,3,3
ACTA2,3,3,3
AEBP1,3,3,3
AGA,3,3,3
AHNAK,3,3,3
APOD,3,3,3
APOE,3,3,3
ARMC6,3,3,3
ATP1B1,3,3,3
ATP5MD,3,3,3
B2M,3,3,3
BOLA2,3,3,3
BOLA2B,3,3,3
BZW2,3,3,3
C19orf48,3,3,3
C1QBP,3,3,3
C6orf226,3,3,3
CCND1,3,3,3
CCND2,3,3,3
CCR10,3,3,3
CCT3,2,2,2
CD151,3,3,3
CD274,3,3,3
CD44,3,3,3
CD47,3,3,3
CD58,3,3,3
CD59,3,3,3
CD63,3,3,3
CDC123,1,1,2
CDH19,3,3,3
CDK4,3,3,3
CDK6,3,3,3
CDKN1A,3,3,3
CDKN2A,3,3,3
CDKN2B,3,3,3
CGAS,3,3,3
CHCHD2,3,3,3
CITED1,3,3,3
CKS1B,3,3,3
CMSS1,3,3,3
CORO1A,3,3,3
CSPG4,3,3,3
CST3,3,3,3
CTPS1,3,3,3
CTSA,3,3,3
CTSB,3,3,3
CTSD,3,3,3
CTSL,3,3,3
CTSO,3,3,3
CXCR4,3,3,3
CYP27A1,3,3,3
DAG1,3,3,3
DDR1,3,3,3
DDX17,3,3,3
DDX39A,3,3,3
DLL3,3,3,3
DNMT1,2,3,2
E2F1,3,3,3
EEA1,3,3,3
EEF1G,0,3,1
EIF2S3,0,1,0
EIF3K,3,3,3
EIF4A1,2,1,1
EMP1,3,3,3
ENPP1,3,3,3
EVA1A,3,3,3
FBL,2,2,1
FBXO32,3,3,3
FGFR1,3,3,3
FKBP4,3,3,3
FMN1,3,3,3
FOS,3,3,3
FOXM1,1,3,2
FRZB,3,3,3
FSTL3,3,3,3
FTH1,0,2,0
GAA,3,3,3
GPATCH4,3,3,3
GPI,1,3,1
GPNMB,3,3,3
GRN,3,3,3
GSEC,3,3,3
GSN,3,3,3
HASPIN,3,3,3
HLA-A,3,3,3
HLA-B,3,3,3
HLA-C,3,3,3
HLA-DRB5,3,3,3
HLA-E,3,3,3
HLA-F,3,3,3
HNRNPA1,3,3,3
HNRNPC,1,1,1
HSPA1A,3,3,3
IDH2,3,3,3
IDI2-AS1,3,3,3
IFNGR1,3,3,3
IFNGR2,3,3,3
ILF2,2,2,1
IRF3,3,3,3
IRF4,3,3,3
ISYNA1,3,3,3
ITGA3,3,3,3
JAK1,3,3,3
JAK2,3,3,3
JMJD7,3,3,3
JPT1,2,3,2
KCNN4,3,3,3
KDR,3,3,3
KLF4,3,3,3
LAMP2,3,3,3
LCP1,3,3,3
LGALS3,3,3,3
LGALS3BP,3,3,3
LINC00518,3,3,3
LRPAP1,3,3,3
LY96,3,3,3
MC1R,3,3,3
MDH2,3,3,3
MFGE8,3,3,3
MIA,3,3,3
MRPL47,3,3,3
MT2A,3,3,3
MYC,2,3,3
NACA,0,2,1
NCL,1,3,1
NDUFA13,3,3,3
NEAT1,3,3,3
NGFR,3,3,3
NME1,3,3,3
NMRK1,3,3,3
NOLC1,3,3,3
NONO,3,3,3
NPC1,3,3,3
NPC2,3,3,3
NSG1,3,3,3
NT5E,3,3,3
P2RX4,3,3,3
PABPC1,2,2,2
PAICS,3,3,2
PET100,3,3,3
PFDN4,3,3,3
PFN1,3,3,3
PIK3IP1,3,3,3
POLD2,1,2,1
PPA1,1,2,1
PPIA,3,3,3
PRELID3B,1,2,1
PROS1,3,3,3
PSAP,3,3,3
PSMB8-AS1,3,3,3
PTMA,3,3,3
PUF60,2,2,2
PYGB,3,3,3
RAB27A,3,3,3
RB1,3,3,3
RBP7,3,3,3
RNASEH2A,3,3,3
RNF213,3,3,3
ROMO1,2,3,2
RPSA,1,1,1
RRS1,1,2,2
RTP4,3,3,3
RUVBL2,0,1,1
S100A6,3,3,3
S100B,3,3,3
SAE1,2,2,1
SAT1,3,3,3
SCARB2,3,3,3
SDC3,3,3,3
SDCBP,3,3,3
SEC11C,3,3,3
SERPINA3,3,3,3
SERPINE2,3,3,3
SERPINF1,3,3,3
SET,3,3,3
SGK1,3,3,3
SHMT2,3,3,3
SINHCAF,3,3,3
SLC19A1,3,3,3
SLC22A18,3,3,3
SLC25A13,3,3,3
SLC26A2,3,3,3
SLC5A3,3,3,3
SLIRP,3,3,3
SMAD3,3,3,3
SMAD4,3,3,3
SNRPG,1,1,1
SOX4,3,3,3
SP100,3,3,3
SPESP1,3,3,3
SPINT1,3,3,3
SSR2,3,3,3
ST3GAL6-AS1,3,3,3
ST6GALNAC2,3,3,3
STAT1,3,3,3
STAT3,3,3,3
STOM,3,3,3
STX7,3,3,3
TAPBP,3,3,3
TAPBPL,3,3,3
TFAP2A,3,3,3
TGFB1,3,3,3
TIMM50,3,3,2
TIMP1,3,3,3
TIMP2,3,3,3
TIMP3,3,3,3
TM4SF1,3,3,3
TMED10,3,3,2
TMEM173,3,3,3
TOP1MT,3,3,3
TP53,3,3,3
TPP1,3,3,3
TPRKB,1,2,3
TRIM22,3,3,3
TSC22D3,3,3,3
TTLL1,3,3,3
TXNDC17,3,3,3
UBA52,0,1,1
UBC,2,2,2
UCN2,3,3,3
UQCRFS1,3,3,3
UQCRH,3,3,3
VAT1,3,3,3
VDAC2,3,3,3
WBP2,3,3,3
XAGE1A,3,3,3
