gene,adt_feature,condition,rna_log2fc,adt_delta,n_cells
IFNGR1,CD119,Control,-1.3794775681099813,-0.33312166,133
CXCR4,CD184,Control,-0.08751358955133781,-0.026450515,105
CD274,CD274,Control,-0.4431649450753433,-0.22517039,141
KDR,CD309,Control,-0.6821489300438655,-0.03812644,129
CD44,CD44,Control,-0.2661052663629021,-0.23521465,158
CD47,CD47,Control,-1.3708883374952272,-0.44420183,130
CD58,CD58,Control,-1.0160952097889266,-0.5840615,128
CD59,CD59,Control,-0.6678162816095989,-0.3242728,150
HLA-A,HLA_A,Control,-0.5080615077905901,-0.06474835,156
HLA-B,HLA_A,Control,-0.36609408507473346,-0.10171744,98
HLA-C,HLA_A,Control,-1.7952885464984716,-0.06293094,94
HLA-E,HLA_E,Control,-1.2087744109584326,-0.032767564,107
IFNGR1,CD119,IFNγ,-1.1848152377739398,-0.14921522,178
CXCR4,CD184,IFNγ,-0.07378231726870879,0.029046655,203
CD274,CD274,IFNγ,-0.9786165184443933,-0.73659605,270
KDR,CD309,IFNγ,-1.4350265541122316,-0.0510256,266
CD44,CD44,IFNγ,-0.3114279241427194,-0.13877964,239
CD47,CD47,IFNγ,-1.0529795076739343,-0.4991492,234
CD58,CD58,IFNγ,-0.635118578019233,-0.5181576,205
CD59,CD59,IFNγ,-0.6364009998986674,-0.32501552,265
HLA-A,HLA_A,IFNγ,-0.425966739074553,-0.0605492,257
HLA-B,HLA_A,IFNγ,-0.6865240657274907,-0.14731267,147
HLA-C,HLA_A,IFNγ,-1.3943797059421839,-0.13635963,164
HLA-E,HLA_E,IFNγ,-1.5755971990853228,-0.13384986,187
IFNGR1,CD119,Co-culture,-1.510727809329063,-0.3962158,287
CXCR4,CD184,Co-culture,0.3156429882011885,0.0052958056,199
CD274,CD274,Co-culture,-0.9665300287886396,-0.6715575,215
KDR,CD309,Co-culture,-0.10446308645808486,-0.05196719,211
CD44,CD44,Co-culture,-0.5052725193063929,-0.23775011,270
CD47,CD47,Co-culture,-0.7090263848151116,-0.48858768,186
CD58,CD58,Co-culture,-0.7642632963736924,-0.36315355,267
CD59,CD59,Co-culture,-0.4233322826653979,-0.20486955,231
HLA-A,HLA_A,Co-culture,-0.4987422187617426,-0.029168367,249
HLA-B,HLA_A,Co-culture,-0.9046034882685422,-0.24409556,137
HLA-C,HLA_A,Co-culture,-1.3783591140312592,-0.20435536,156
HLA-E,HLA_E,Co-culture,-1.4716718253324084,-0.141783,178
