gene,guide,condition,n_cells,self_log2fc
HLA-B,HLA-B_2,Control,25,0.14183423896871605
IFNGR1,IFNGR1_1,Control,58,-2.5928105488122704
CDKN1A,CDKN1A_3,Control,49,-0.47450707695426436
EMP1,EMP1_3,Control,44,-0.28916368275578797
CD63,CD63_2,Control,31,-1.4499557413524315
PIK3IP1,PIK3IP1_2,Control,36,-0.08751358955133781
SPESP1,SPESP1_3,Control,68,-0.08659149249569062
PPIA,PPIA_2,Control,10,-1.50404902016091
SAT1,SAT1_3,Control,32,1.3460482622543175
POLD2,POLD2_2,Control,20,-1.0827965690566683
TPP1,TPP1_3,Control,42,-1.1070453772076483
DDX17,DDX17_2,Control,47,-0.21011801009461284
HNRNPA1,HNRNPA1_2,Control,47,-0.7087345437781576
CXCR4,CXCR4_1,Control,41,-0.08751358955133781
ACTA2,ACTA2_1,Control,52,-1.1837045590059894
RAB27A,RAB27A_3,Control,26,-0.635824443594102
NDUFA13,NDUFA13_1,Control,30,-0.8483416501523007
KCNN4,KCNN4_3,Control,51,-0.39309325729169525
PFDN4,PFDN4_3,Control,72,-0.3018999723021304
UQCRH,UQCRH_1,Control,17,-1.4094908203135958
PUF60,PUF60_3,Control,26,-0.8874729234197724
CSPG4,CSPG4_2,Control,43,1.0119929091512716
CD58,CD58_1,Control,36,-0.8297744740997975
TM4SF1,TM4SF1_3,Control,40,-0.5167015001741618
IRF3,IRF3_2,Control,41,0.025473221972523306
GRN,GRN_2,Control,40,-1.6954089570859974
CCR10,CCR10_3,Control,37,1.9117645175823554
JAK2,JAK2_2,Control,55,-1.1227309598461754
PFDN4,PFDN4_1,Control,64,-0.4016742617858713
TSC22D3,TSC22D3_3,Control,59,0.06246477320200815
CTSA,CTSA_3,Control,35,-1.5510854055511611
EMP1,EMP1_2,Control,46,-0.08328046093607126
TIMP1,TIMP1_3,Control,53,-2.3122066754890804
SOX4,SOX4_2,Control,62,-0.32411168323649153
A2M,A2M_3,Control,53,-0.029764950149690127
CTSO,CTSO_3,Control,40,-2.143625199290032
TFAP2A,TFAP2A_2,Control,43,-0.6005911100712233
VDAC2,VDAC2_2,Control,45,-2.083315331985648
GSN,GSN_1,Control,62,-1.0946469174271556
IDI2-AS1,IDI2-AS1_3,Control,44,-0.1700208578456239
RB1,RB1_2,Control,51,-0.42645469102715844
C6orf226,C6orf226_1,Control,48,-1.6270664450945422
KLF4,KLF4_1,Control,36,0.34181335170051136
MIA,MIA_2,Control,39,0.3614286907208578
C1QBP,C1QBP_1,Control,23,-1.2265295597314871
CTSB,CTSB_3,Control,41,-1.2571967524338354
NGFR,NGFR_1,Control,38,-0.05892819809246811
CYP27A1,CYP27A1_3,Control,43,-1.6152907536277168
LINC00518,LINC00518_2,Control,50,-0.029764950149690127
IFNGR1,IFNGR1_2,Control,38,-1.10027219710771
CST3,CST3_2,Control,52,-0.6499128076433116
JAK1,JAK1_2,Control,62,-1.6246645746612476
HLA-DRB5,HLA-DRB5_2,Control,64,0.0
RTP4,RTP4_2,Control,51,-0.9232397484895162
SERPINE2,SERPINE2_2,Control,37,-1.2810469002595655
SOX4,SOX4_3,Control,57,-1.119464959472086
RTP4,RTP4_1,Control,64,0.20214878473426237
SSR2,SSR2_2,Control,34,-0.7213672866501504
JAK2,JAK2_1,Control,56,-0.3892733056098249
APOE,APOE_1,Control,38,0.6058936946804918
TPP1,TPP1_2,Control,38,0.12215231122080286
CCND1,CCND1_2,Control,39,-0.6477761497188361
CD44,CD44_2,Control,49,-1.5914807265254969
SDC3,SDC3_2,Control,47,-0.2953564198675826
WBP2,WBP2_2,Control,38,-0.646611263911847
NONO,NONO_3,Control,45,-0.731073871718794
MFGE8,MFGE8_1,Control,39,-0.2792764465513172
TAPBPL,TAPBPL_3,Control,42,-1.4924089748339306
PTMA,PTMA_3,Control,33,-0.9052873510099136
CD58,CD58_3,Control,47,-0.8346798132100604
GPNMB,GPNMB_2,Control,42,-1.0434150121222667
MRPL47,MRPL47_1,Control,22,-0.3837936005435666
CD59,CD59_2,Control,70,-0.4095485240799646
VAT1,VAT1_1,Control,36,-1.7490622209408047
CD274,CD274_2,Control,57,-0.31584019757751447
TXNDC17,TXNDC17_3,Control,61,-1.555957945838782
GSN,GSN_3,Control,39,0.3853696827257864
TIMP3,TIMP3_3,Control,53,-0.9324366405220683
GSN,GSN_2,Control,62,-1.8358620791186078
CD44,CD44_1,Control,36,0.16029964919390935
B2M,B2M_3,Control,34,-1.6601222096977035
SAT1,SAT1_1,Control,57,0.46993356570857836
IDH2,IDH2_2,Control,56,-0.35283623018862176
JAK1,JAK1_1,Control,35,-1.694634007925253
GSEC,GSEC_2,Control,42,-1.231864560704803
STX7,STX7_3,Control,43,-0.9376048245234455
HLA-F,HLA-F_2,Control,45,-1.2596181854319266
XAGE1A,XAGE1A_2,Control,26,-0.29784138881359057
UCN2,UCN2_3,Control,28,-0.14356257391869331
GAA,GAA_3,Control,54,1.1517355650339651
CITED1,CITED1_3,Control,52,-0.64416674141262
SP100,SP100_3,Control,37,-1.0103031315636353
ST3GAL6-AS1,ST3GAL6-AS1_2,Control,60,0.517020128854658
TOP1MT,TOP1MT_1,Control,55,-1.1961284740874296
FMN1,FMN1_2,Control,41,-0.534748444105565
NMRK1,NMRK1_2,Control,49,-1.6422700422852068
TGFB1,TGFB1_2,Control,58,-2.164241767395539
HSPA1A,HSPA1A_3,Control,37,-1.2448971499163253
TOP1MT,TOP1MT_3,Control,47,-1.0996289652723716
PSAP,PSAP_1,Control,48,-0.39122592360558184
CCND2,CCND2_1,Control,38,-0.08751358955133781
TAPBPL,TAPBPL_1,Control,44,0.010994815173721174
FBXO32,FBXO32_2,Control,56,-0.845628014716403
NEAT1,NEAT1_2,Control,33,0.04348976247564507
JAK2,JAK2_3,Control,50,-0.2925044702896062
TIMP1,TIMP1_2,Control,29,-0.7179032204336964
APOD,APOD_3,Control,50,-0.1700208578456239
TIMM50,TIMM50_3,Control,62,-0.5823642729381799
MDH2,MDH2_3,Control,23,-1.7568019938168997
SLC5A3,SLC5A3_2,Control,58,0.11968752408613764
BOLA2,BOLA2_2,Control,26,-0.14303934176240313
HLA-A,HLA-A_2,Control,60,-0.5831933818415601
SET,SET_1,Control,42,-1.0279282718955614
SLC22A18,SLC22A18_1,Control,58,-1.2827099209264075
TMEM173,TMEM173_2,Control,58,-0.7325538734705702
UCN2,UCN2_1,Control,33,0.8321949257435178
NMRK1,NMRK1_1,Control,49,-1.1156506570178653
TTLL1,TTLL1_1,Control,74,-1.0448384908222605
SLC26A2,SLC26A2_3,Control,51,-0.3825848744518948
SGK1,SGK1_2,Control,51,-0.49975510815284474
CTSD,CTSD_1,Control,49,-2.318792576545716
TGFB1,TGFB1_3,Control,66,-1.984565860196405
CITED1,CITED1_2,Control,46,-0.64416674141262
P2RX4,P2RX4_2,Control,31,-0.6156474177629481
SET,SET_2,Control,51,-2.8328579500529782
AHNAK,AHNAK_1,Control,50,-0.21449990006605352
PROS1,PROS1_2,Control,46,-1.2736431526640168
EVA1A,EVA1A_3,Control,38,-0.475432178947338
MC1R,MC1R_1,Control,42,-1.4924089748339306
FBL,FBL_3,Control,39,-0.4165724346736075
LCP1,LCP1_3,Control,34,-2.0006469071591586
CTSO,CTSO_2,Control,55,0.6582322102227062
LY96,LY96_1,Control,52,-1.2859109223627359
NPC1,NPC1_2,Control,61,-1.0270668309027509
TXNDC17,TXNDC17_1,Control,33,-0.5231825760541234
AHNAK,AHNAK_2,Control,58,-0.42127623212331144
LINC00518,LINC00518_3,Control,36,-0.029764950149690127
NSG1,NSG1_3,Control,40,-0.46451969487379774
NSG1,NSG1_2,Control,43,-1.9234672011275629
CD58,CD58_2,Control,45,-1.436361673441022
STAT3,STAT3_2,Control,56,-0.7028882406555182
CTSO,CTSO_1,Control,73,-1.0158399750434226
RBP7,RBP7_2,Control,46,-0.41525316723065586
PIK3IP1,PIK3IP1_1,Control,39,2.73859367343073
CDK4,CDK4_3,Control,51,-0.9726472491005737
HSPA1A,HSPA1A_2,Control,35,-0.2707368352046169
SCARB2,SCARB2_2,Control,43,-1.6687290408848727
TAPBP,TAPBP_2,Control,42,-0.612710006394241
RAB27A,RAB27A_1,Control,56,-0.7977837359287548
FSTL3,FSTL3_2,Control,42,-2.0240647429352254
DDR1,DDR1_3,Control,49,-0.36281199030861244
CDKN1A,CDKN1A_1,Control,48,-0.0733711607017223
JAK1,JAK1_3,Control,38,-1.730968524367537
SLC22A18,SLC22A18_2,Control,44,-0.22188817407336964
SPESP1,SPESP1_2,Control,41,-0.4515573649298757
SERPINF1,SERPINF1_3,Control,44,-0.1700208578456239
JPT1,JPT1_1,Control,40,-1.562508221377655
AGA,AGA_1,Control,47,-0.5066780180076165
TSC22D3,TSC22D3_1,Control,59,-0.8518907034876099
JMJD7,JMJD7_1,Control,61,0.0
AEBP1,AEBP1_1,Control,52,-1.480533419284589
IFNGR1,IFNGR1_3,Control,37,-0.7546942061838533
