protein,Control,IFNγ,Co-culture
CD117,0.0,-0.02397573,-0.52629685
CD119,0.0,-0.17475617,-0.30486208
CD140a,0.0,0.029353827,-0.20032161
CD140b,0.0,-0.15527168,-0.46796116
CD172a,0.0,-0.08193016,-0.2582504
CD184,0.0,-0.23579603,-0.772508
CD202b,0.0,0.025927395,-0.21027464
CD274,0.0,0.63187635,0.45638642
CD29,0.0,-0.018896341,-0.046850502
CD309,0.0,0.09565458,-0.14259131
CD44,0.0,-0.015153468,-0.06524944
CD47,0.0,0.072369754,-0.06153983
CD49f,0.0,-0.07960892,-0.060702026
CD58,0.0,-0.05822134,-0.33148167
CD59,0.0,-0.052790284,-0.43616623
CD61,0.0,0.05176547,-0.15493923
HLA_A,0.0,0.060313582,0.4918853
Rat_IgG2a,0.0,-0.007417053,-0.37011722
Mouse_IgG1,0.0,-0.048820168,-0.17539418
Mouse_IgG2a,0.0,0.017827868,-0.1855743
Mouse_IgG2b,0.0,-0.037305415,-0.13779157
HLA_E,0.0,0.3427239,0.012310594
CD9,0.0,-0.02454561,-0.28242666
CD279,0.0,0.007018864,-0.30999285
