feature,pct_positive,clr_pos_vs_iso,cond_range_clr,clust_range_clr,clust_range_det
CD117,46.824346675487924,0.659676,0.52629685,0.7627719,0.677506748236727
CD119,95.20265267866988,0.49001318,0.30486208,0.48406073,0.10812497233562912
CD140a,26.190476190476193,0.565657,0.22967544,0.3048487,0.3754991259048303
CD140b,40.76996991320511,0.5888199,0.46796116,0.5060074,0.5054252813288957
CD172a,71.10328749428982,0.48296297,0.2582504,0.3590277,0.27094805028417024
CD184,58.217160499661325,0.6383863,0.772508,0.8237497,0.7495781901168151
CD202b,31.154009734889655,0.53112376,0.23620203,0.2920608,0.3721859404426407
CD274,95.95561016335081,0.64872915,0.63187635,0.7491484,0.14684018904302587
CD29,100.0,0.5506147,0.046850502,0.61485016,0.0
CD309,34.18946804656365,0.5965735,0.23824589,0.49877533,0.5070948967432862
CD44,99.99921238756832,0.54827726,0.06524944,0.49437922,0.0001258178158026757
CD47,99.96534505300632,0.52923644,0.13390958,0.33098847,0.003054600992745349
CD49f,98.6965014255785,0.4417417,0.07960892,0.9944683,0.07477101838557765
CD58,95.13019233495581,0.48693675,0.33148167,0.5285718,0.17763494585402606
CD59,97.01652410881654,0.5219734,0.43616623,0.6620333,0.08734042723171043
CD61,49.62037080793284,0.53197956,0.2067047,0.4877976,0.4744536182011153
HLA_A,99.81097301639808,0.5618385,0.4918853,0.6785537,0.020714613107273072
HLA_E,45.38537876281839,0.5382167,0.3427239,0.40616804,0.40560994524512495
CD9,99.934628168171,0.5574639,0.28242666,0.5751225,0.0068728522336769515
CD279,46.23363735173196,0.55131495,0.3170117,0.38399452,0.439096507131914
